Date,Nicosia - Traffic Station,Limassol - Traffic Station,Larnaka - Traffic Station,Paralimni - Traffic Station,Zygi - Industrial Station,EMEP - Agia Marina Xyliatou - Background Station,Pafos - Traffic Station
08/03/2018,N/A,50.6,N/A,40.4,45.2,40.0,46.1
09/03/2018,N/A,35.4,47.8,39.5,38.5,23.9,33.3
10/03/2018,N/A,24.1,23.4,28.8,26.7,13.8,30.8
11/03/2018,23.3,21.8,25.6,30.2,28.4,N/A,27.0
12/03/2018,27.9,23.9,24.3,29.7,22.9,N/A,21.2
13/03/2018,31.5,20.6,22.8,27.9,18.8,16.1,23.2
14/03/2018,30.2,30.9,40.0,38.6,33.2,23.6,33.3
15/03/2018,26.4,27.3,31.6,33.8,28.4,16.9,27.7
16/03/2018,23.5,28.8,25.4,31.3,29.2,12.1,22.0
17/03/2018,23.9,26.3,N/A,24.5,21.8,9.2,24.4
18/03/2018,28.1,27.8,29.9,27.6,21.5,22.0,32.3
19/03/2018,53.9,54.6,55.7,47.7,37.9,32.4,57.9
20/03/2018,71.3,60.1,77.4,60.0,59.4,68.4,52.7
21/03/2018,62.5,69.8,N/A,63.9,59.8,54.9,55.3
22/03/2018,55.0,72.6,55.5,49.1,50.6,50.4,71.1
23/03/2018,77.5,78.1,68.5,77.2,62.9,50.5,124.0
24/03/2018,71.0,89.5,84.5,79.8,115.5,N/A,80.8
25/03/2018,172.2,352.7,181.0,153.7,291.3,172.4,365.2
26/03/2018,290.4,294.0,303.1,287.0,235.7,257.2,310.3
27/03/2018,96.6,103.2,83.6,108.8,64.8,67.2,169.9
28/03/2018,118.8,94.0,92.1,81.5,89.2,94.7,92.3
29/03/2018,39.6,34.6,37.3,34.5,43.3,N/A,N/A
30/03/2018,26.9,19.6,21.3,24.4,26.3,10.4,25.2
31/03/2018,25.1,20.7,22.7,23.7,21.1,10.0,34.9
01/04/2018,18.1,17.0,18.8,26.1,25.1,N/A,29.0
02/04/2018,27.2,26.4,29.1,32.1,25.2,13.6,N/A
03/04/2018,26.7,29.8,27.8,27.4,31.8,15.1,N/A
04/04/2018,28.1,21.4,24.6,23.3,23.8,12.0,37.1
05/04/2018,22.0,20.7,25.0,25.0,23.0,N/A,N/A
06/04/2018,20.7,21.5,21.4,26.8,23.7,6.9,43.9
07/04/2018,33.9,24.0,34.6,37.7,23.0,14.1,29.4
08/04/2018,27.9,37.6,36.5,35.9,39.7,18.7,40.5
09/04/2018,25.2,14.7,20.4,27.1,23.0,13.0,38.7
10/04/2018,21.9,17.7,13.7,19.4,20.7,8.9,35.9
11/04/2018,34.6,28.0,22.4,29.2,26.6,13.0,42.1
12/04/2018,43.7,32.8,33.6,44.6,37.6,21.2,N/A
13/04/2018,37.8,30.5,34.1,43.5,35.9,19.0,28.1
14/04/2018,33.7,31.9,25.8,37.6,35.5,27.9,23.1
15/04/2018,37.4,39.4,40.0,36.8,43.7,31.6,38.6
16/04/2018,32.6,31.1,32.2,35.2,30.4,18.0,32.1
17/04/2018,35.7,27.5,N/A,41.4,29.1,12.1,23.6
18/04/2018,31.1,32.8,N/A,43.4,N/A,14.4,28.2
19/04/2018,54.8,68.0,53.5,52.1,59.9,49.7,49.4
20/04/2018,60.3,54.9,84.1,72.1,66.8,53.2,48.6
21/04/2018,26.7,34.3,35.5,38.2,35.8,35.0,41.4
22/04/2018,14.2,16.3,20.4,24.0,23.1,N/A,17.3
23/04/2018,25.2,23.8,25.8,28.5,24.0,N/A,25.2
24/04/2018,33.7,27.7,28.5,25.1,29.1,14.6,28.7
25/04/2018,37.7,36.2,38.5,33.7,46.8,21.6,32.5
26/04/2018,52.6,52.9,54.5,59.4,52.8,36.4,31.1
27/04/2018,65.1,70.7,64.0,63.6,64.3,46.0,66.9
28/04/2018,32.7,43.5,N/A,44.3,51.0,20.8,27.7
29/04/2018,41.9,37.1,N/A,39.7,50.5,25.7,35.6
30/04/2018,42.7,42.6,N/A,37.1,52.2,26.8,38.0
01/05/2018,42.7,46.1,47.7,42.1,52.0,39.8,42.7
02/05/2018,43.3,49.6,46.8,38.8,49.3,34.1,53.4
03/05/2018,50.0,56.5,47.2,36.4,56.2,42.5,58.0
04/05/2018,84.2,100.3,78.5,64.5,92.7,62.4,97.8
05/05/2018,83.7,96.2,143.7,98.1,99.8,63.8,87.0
06/05/2018,63.4,73.9,75.2,72.4,N/A,61.4,71.4
07/05/2018,53.3,68.5,80.5,71.9,N/A,N/A,57.0
08/05/2018,22.7,21.1,30.7,28.3,N/A,N/A,18.1
09/05/2018,22.3,28.2,31.0,31.8,N/A,N/A,26.0
10/05/2018,32.3,28.2,38.2,37.4,N/A,N/A,35.8
11/05/2018,27.1,31.0,29.1,32.6,N/A,N/A,28.3
12/05/2018,26.8,34.3,29.8,33.8,N/A,N/A,33.5
13/05/2018,24.1,31.1,35.6,35.2,N/A,N/A,34.0
14/05/2018,31.0,29.8,35.3,35.4,N/A,N/A,N/A
15/05/2018,25.8,28.7,31.8,30.5,N/A,N/A,27.4
16/05/2018,24.9,30.1,33.0,33.0,N/A,N/A,26.2
17/05/2018,27.3,36.5,38.5,32.5,N/A,N/A,30.9
18/05/2018,30.4,33.4,32.9,31.5,N/A,N/A,27.8
19/05/2018,27.9,37.0,31.4,33.0,N/A,N/A,33.1
20/05/2018,24.5,35.8,33.8,36.0,N/A,N/A,29.2
21/05/2018,47.3,61.1,46.5,47.5,N/A,49.5,53.9
22/05/2018,63.8,78.3,65.0,61.7,N/A,61.6,87.7
23/05/2018,56.0,83.8,80.0,66.0,N/A,55.2,52.1
24/05/2018,45.6,74.6,N/A,58.0,N/A,38.3,47.3
25/05/2018,53.8,88.2,N/A,63.2,N/A,58.1,63.7
26/05/2018,34.9,57.0,N/A,52.5,N/A,34.5,46.0
27/05/2018,33.6,45.9,N/A,46.5,N/A,31.1,34.5
28/05/2018,26.3,38.5,N/A,42.9,N/A,24.4,27.9
29/05/2018,26.7,34.6,N/A,43.0,N/A,N/A,27.9
30/05/2018,23.6,32.2,N/A,37.6,N/A,N/A,28.8
31/05/2018,30.5,39.3,44.4,42.2,N/A,N/A,32.7
01/06/2018,39.5,33.2,29.0,36.9,N/A,N/A,29.5
02/06/2018,25.9,30.2,30.1,32.7,N/A,N/A,27.6
03/06/2018,25.7,24.7,28.7,31.7,N/A,N/A,20.6
04/06/2018,38.1,29.5,31.6,36.2,N/A,N/A,27.9
05/06/2018,28.3,26.3,40.2,37.1,N/A,N/A,20.2
06/06/2018,27.0,22.0,30.2,31.9,N/A,N/A,20.0
07/06/2018,33.8,N/A,34.8,38.6,N/A,N/A,27.0
08/06/2018,48.4,56.1,48.1,47.6,N/A,42.6,40.4
09/06/2018,46.2,46.5,52.8,54.6,N/A,33.6,46.5
10/06/2018,49.3,51.4,57.9,54.3,N/A,39.3,45.5
11/06/2018,40.2,33.2,57.8,45.2,N/A,27.8,29.0
12/06/2018,42.5,35.5,42.7,44.7,N/A,28.1,32.8
13/06/2018,40.6,27.8,42.7,42.9,N/A,N/A,31.7
14/06/2018,45.9,32.5,38.4,35.7,N/A,N/A,25.9
15/06/2018,31.9,29.1,36.7,34.6,N/A,N/A,19.9
16/06/2018,35.7,29.6,28.7,30.4,N/A,21.2,29.4
17/06/2018,24.9,24.7,90.0,43.4,N/A,12.3,20.0
18/06/2018,N/A,23.5,67.6,27.9,N/A,9.1,17.0
19/06/2018,N/A,21.1,31.5,23.5,N/A,10.0,16.2
20/06/2018,N/A,23.9,38.6,24.4,N/A,10.4,18.8
21/06/2018,N/A,30.9,43.5,32.9,N/A,15.3,26.1
22/06/2018,N/A,33.3,39.5,32.7,N/A,15.0,27.7
23/06/2018,27.4,32.1,42.4,33.5,N/A,17.3,31.4
24/06/2018,26.3,31.3,36.9,31.8,N/A,N/A,30.6
25/06/2018,33.5,40.4,44.1,40.8,N/A,N/A,35.0
26/06/2018,31.9,35.7,38.8,39.2,N/A,15.7,28.3
27/06/2018,27.9,28.3,35.9,28.8,25.5,13.6,N/A
28/06/2018,31.7,40.5,44.4,32.6,46.3,17.2,N/A
29/06/2018,25.4,29.2,45.1,30.9,26.8,11.8,N/A
30/06/2018,19.0,22.4,N/A,27.6,23.9,N/A,N/A
01/07/2018,18.6,23.7,22.9,23.7,22.4,10.5,N/A
02/07/2018,22.2,26.1,26.8,28.6,21.9,11.5,N/A
03/07/2018,34.6,33.1,37.9,40.4,25.1,18.0,N/A
04/07/2018,41.4,40.2,41.0,53.9,32.8,20.4,32.2
05/07/2018,32.5,41.1,36.2,34.7,27.7,15.5,30.6
06/07/2018,37.6,44.3,39.2,40.9,36.9,23.3,42.2
07/07/2018,34.4,39.1,42.4,38.9,31.7,19.4,41.3
08/07/2018,34.4,33.2,45.2,39.8,31.0,18.9,34.6
09/07/2018,35.1,31.1,42.7,39.8,28.8,19.5,32.3
10/07/2018,34.9,38.7,42.0,42.5,30.7,18.6,28.2
11/07/2018,27.5,32.3,47.4,33.9,39.6,13.4,24.7
12/07/2018,35.5,33.3,46.0,37.2,27.4,19.4,33.3
13/07/2018,45.2,45.5,55.1,48.0,42.7,25.9,41.3
14/07/2018,35.5,44.2,44.9,46.5,39.7,23.8,42.7
15/07/2018,N/A,40.3,49.0,42.2,42.3,21.1,42.6
16/07/2018,34.6,37.5,N/A,41.2,31.8,18.6,34.1
17/07/2018,36.8,38.3,48.2,44.5,31.3,17.9,30.8
18/07/2018,38.0,37.2,52.6,40.7,32.9,N/A,35.2
19/07/2018,49.8,51.0,58.6,49.5,36.6,N/A,45.2
20/07/2018,47.4,43.0,49.7,47.5,32.4,N/A,35.9
21/07/2018,32.3,N/A,43.6,36.1,31.2,N/A,29.3
22/07/2018,N/A,N/A,39.4,33.6,32.2,N/A,31.5
23/07/2018,N/A,N/A,41.6,39.4,32.5,N/A,36.1
24/07/2018,52.4,54.0,58.0,50.7,53.5,N/A,46.0
25/07/2018,51.3,46.5,76.9,52.0,50.2,N/A,41.2
26/07/2018,29.8,31.4,46.0,34.8,34.5,N/A,22.0
27/07/2018,26.3,29.8,42.4,32.3,37.3,N/A,23.6
28/07/2018,25.1,31.9,39.3,32.0,29.4,N/A,27.5
29/07/2018,N/A,24.1,47.2,33.9,29.0,N/A,24.8
30/07/2018,30.6,29.7,48.3,36.2,30.0,N/A,26.8
31/07/2018,N/A,32.9,45.2,42.2,35.8,N/A,29.1
01/08/2018,33.5,33.0,46.2,38.8,31.8,25.9,32.2
02/08/2018,40.0,46.9,45.7,45.3,41.3,34.6,41.1
03/08/2018,42.8,50.9,52.7,52.8,44.8,36.8,46.1
04/08/2018,50.3,49.0,56.1,N/A,51.8,40.3,46.0
05/08/2018,49.1,39.3,49.9,N/A,47.9,29.6,40.1
06/08/2018,37.2,36.2,43.6,N/A,36.7,23.7,34.6
07/08/2018,39.5,40.5,44.1,42.4,43.5,N/A,36.9
08/08/2018,33.4,39.9,45.1,47.3,46.4,N/A,36.1
09/08/2018,24.3,41.9,37.2,35.4,41.2,N/A,33.1
10/08/2018,N/A,33.5,N/A,33.2,39.6,N/A,32.2
11/08/2018,21.6,26.0,37.5,34.4,34.9,N/A,25.4
12/08/2018,19.1,30.2,36.3,34.2,N/A,N/A,26.3
13/08/2018,21.8,34.6,N/A,34.5,40.3,N/A,33.1
14/08/2018,25.4,32.7,N/A,35.5,39.7,N/A,32.6
15/08/2018,22.8,29.0,35.7,32.7,N/A,N/A,33.4
16/08/2018,34.7,35.2,48.9,43.2,38.4,N/A,38.3
17/08/2018,37.2,39.7,50.3,50.1,44.1,N/A,39.0
18/08/2018,33.8,36.3,42.6,41.1,46.6,N/A,34.3
19/08/2018,37.6,39.1,46.8,44.9,44.0,N/A,38.5
20/08/2018,39.5,38.0,47.7,46.7,41.8,N/A,39.7
21/08/2018,37.7,37.8,49.7,44.3,41.1,N/A,35.9
22/08/2018,37.0,45.8,47.2,44.7,42.4,N/A,39.3
23/08/2018,34.8,51.0,50.2,45.7,46.6,N/A,44.0
24/08/2018,36.1,44.2,45.8,45.4,43.4,N/A,38.9
25/08/2018,32.3,37.7,42.8,38.0,35.7,N/A,36.0
26/08/2018,30.5,34.4,43.0,37.8,42.9,N/A,30.2
27/08/2018,36.9,32.4,44.5,34.3,32.6,N/A,28.8
28/08/2018,33.1,34.9,44.8,36.4,36.1,N/A,36.0
29/08/2018,31.4,29.2,35.4,33.9,23.4,N/A,32.5
30/08/2018,26.8,29.9,32.0,28.4,21.4,N/A,27.4
31/08/2018,25.4,30.6,35.3,31.6,23.6,N/A,26.3
01/09/2018,28.6,34.1,38.2,36.5,28.0,N/A,35.5
02/09/2018,33.2,40.1,45.8,42.6,36.3,N/A,40.5
03/09/2018,37.8,51.3,54.0,49.9,37.7,N/A,49.3
04/09/2018,44.1,46.3,62.1,50.0,43.4,N/A,57.6
05/09/2018,49.0,39.1,57.3,53.0,36.9,N/A,49.7
06/09/2018,41.6,33.9,90.6,60.7,36.6,N/A,34.6
07/09/2018,35.2,38.9,50.8,41.9,31.3,N/A,42.8
08/09/2018,33.9,35.7,40.8,35.0,33.5,N/A,36.0
09/09/2018,25.9,31.9,36.5,39.4,27.9,N/A,34.5
10/09/2018,27.8,31.6,35.9,30.6,22.6,N/A,27.4
11/09/2018,32.5,29.5,39.8,31.7,22.8,N/A,28.7
12/09/2018,32.4,30.9,35.7,34.8,25.6,N/A,29.2
13/09/2018,32.8,34.9,53.0,36.9,26.8,N/A,29.4
14/09/2018,32.5,34.8,49.7,39.1,34.6,N/A,29.1
15/09/2018,25.1,28.2,35.9,33.7,28.3,N/A,27.5
16/09/2018,21.7,26.0,30.5,28.7,23.0,N/A,22.7
17/09/2018,30.8,31.6,37.4,29.5,26.2,N/A,28.5
18/09/2018,31.3,30.2,38.0,36.1,29.1,N/A,31.2
19/09/2018,28.4,39.3,58.0,35.1,25.3,N/A,28.1
20/09/2018,26.8,36.1,39.6,38.7,27.0,N/A,27.1
21/09/2018,33.4,39.0,49.7,42.5,29.2,N/A,39.1
22/09/2018,N/A,29.7,44.0,36.3,32.7,N/A,29.4
23/09/2018,32.7,25.0,38.6,38.6,N/A,N/A,35.0
24/09/2018,45.5,41.7,48.6,42.1,N/A,N/A,37.0
25/09/2018,43.8,44.7,51.8,46.1,33.4,N/A,33.7
26/09/2018,33.2,33.1,44.7,33.0,N/A,N/A,25.3
27/09/2018,44.6,39.1,44.5,38.3,27.4,N/A,38.0
28/09/2018,42.8,45.2,52.3,47.0,31.5,N/A,35.9
29/09/2018,26.6,34.2,49.3,34.5,27.2,N/A,26.3
30/09/2018,31.9,29.9,35.8,26.3,29.9,N/A,24.5
01/10/2018,28.7,32.7,41.6,34.5,30.6,N/A,23.9
02/10/2018,26.3,33.8,37.0,29.6,22.9,N/A,13.4
03/10/2018,26.6,24.2,35.3,28.4,N/A,N/A,16.3
04/10/2018,26.1,28.6,36.4,28.5,16.7,N/A,18.2
05/10/2018,41.0,40.0,39.6,44.2,27.5,N/A,35.2
06/10/2018,32.1,34.0,31.2,42.1,28.3,N/A,36.2
07/10/2018,30.6,27.9,29.1,33.2,23.6,N/A,23.6
08/10/2018,36.7,35.1,55.6,41.4,25.5,N/A,N/A
09/10/2018,40.1,35.2,62.1,39.4,29.0,N/A,N/A
10/10/2018,41.2,34.5,44.0,38.7,22.9,N/A,30.5
11/10/2018,45.2,34.0,40.4,45.4,24.8,N/A,29.8
12/10/2018,57.6,38.8,56.8,61.3,34.5,N/A,29.0
13/10/2018,N/A,39.1,40.5,39.2,33.1,N/A,46.0
14/10/2018,32.8,24.5,N/A,35.3,20.0,N/A,26.2
15/10/2018,37.4,34.1,N/A,42.0,21.2,N/A,21.5
16/10/2018,39.8,34.9,46.3,40.7,26.3,N/A,23.6
17/10/2018,51.3,33.0,55.6,79.1,30.7,N/A,35.8
18/10/2018,163.5,230.0,163.8,151.9,153.7,139.6,178.0
19/10/2018,120.1,160.1,122.1,121.8,123.4,105.1,135.4
20/10/2018,81.8,99.6,84.6,104.1,83.1,N/A,120.3
21/10/2018,62.4,70.8,51.8,52.6,64.7,N/A,95.9
22/10/2018,72.7,56.6,55.8,55.3,43.2,N/A,66.1
23/10/2018,81.1,59.5,57.1,59.4,59.3,N/A,56.7
24/10/2018,100.4,90.7,93.0,102.4,81.0,N/A,86.7
25/10/2018,34.4,35.4,N/A,45.3,N/A,N/A,34.0
26/10/2018,20.0,16.9,N/A,18.6,N/A,N/A,19.9
27/10/2018,32.9,16.0,18.6,16.9,N/A,N/A,15.9
28/10/2018,35.9,18.7,15.3,17.4,13.8,N/A,16.2
29/10/2018,47.8,30.3,28.3,22.9,17.8,N/A,25.1
30/10/2018,53.0,32.7,36.6,27.6,19.0,N/A,36.6
31/10/2018,59.7,37.3,40.4,36.7,21.8,N/A,33.6
01/11/2018,69.2,47.4,41.7,39.7,27.3,N/A,44.1
02/11/2018,74.2,39.4,49.0,42.0,32.6,23.0,39.2
03/11/2018,164.2,152.1,210.4,195.5,170.6,167.3,57.9
04/11/2018,N/A,51.8,44.9,56.6,45.1,N/A,67.7
05/11/2018,N/A,35.4,31.5,24.2,20.8,19.8,34.5
06/11/2018,38.2,32.2,25.1,35.8,18.5,N/A,31.1
07/11/2018,40.7,27.9,35.2,27.7,18.1,18.6,25.0
08/11/2018,43.1,32.0,29.0,25.9,18.2,18.2,24.5
09/11/2018,43.4,33.1,29.5,22.3,18.6,18.8,28.1
10/11/2018,45.7,28.7,29.7,22.4,17.0,N/A,23.6
11/11/2018,29.2,22.6,19.7,15.9,N/A,N/A,22.9
12/11/2018,35.6,36.3,30.9,27.1,25.8,N/A,22.0
13/11/2018,49.3,30.5,30.8,25.6,19.9,N/A,26.5
14/11/2018,43.6,33.1,30.1,31.8,N/A,N/A,32.1
15/11/2018,33.9,28.5,28.5,23.8,N/A,N/A,24.2
16/11/2018,39.6,25.6,26.8,27.5,15.2,N/A,23.6
17/11/2018,35.2,24.1,22.2,19.1,13.9,N/A,19.6
18/11/2018,33.5,27.5,26.3,24.0,19.7,N/A,23.8
19/11/2018,45.5,39.2,35.8,31.3,25.3,N/A,26.2
20/11/2018,53.2,41.3,44.2,51.5,30.2,N/A,29.6
21/11/2018,48.0,39.5,40.9,48.8,30.8,N/A,N/A
22/11/2018,N/A,43.6,43.6,41.9,29.7,N/A,N/A
23/11/2018,N/A,24.7,N/A,28.8,15.6,N/A,N/A
24/11/2018,N/A,19.6,N/A,16.2,10.2,N/A,N/A
25/11/2018,40.0,17.7,28.8,27.9,17.0,N/A,N/A
26/11/2018,52.8,18.2,42.1,34.9,12.4,N/A,N/A
27/11/2018,33.7,22.8,39.4,31.9,11.8,N/A,16.0
28/11/2018,39.4,32.7,54.0,38.5,26.5,N/A,27.7
29/11/2018,41.7,42.4,45.7,38.8,33.9,N/A,N/A
30/11/2018,32.0,22.0,30.8,34.1,14.8,9.6,N/A
01/12/2018,53.5,22.6,N/A,27.1,14.3,7.3,N/A
02/12/2018,N/A,24.9,N/A,28.5,10.5,9.6,N/A
03/12/2018,39.0,33.4,N/A,31.5,21.2,N/A,N/A
04/12/2018,25.6,19.6,N/A,32.6,N/A,N/A,13.2
05/12/2018,20.4,13.1,N/A,16.6,N/A,N/A,N/A
06/12/2018,27.7,16.6,N/A,15.2,N/A,N/A,N/A
07/12/2018,59.9,31.9,N/A,22.2,6.1,N/A,N/A
08/12/2018,56.3,26.1,40.6,33.0,N/A,N/A,N/A
09/12/2018,52.2,24.5,38.3,33.1,13.4,N/A,N/A
10/12/2018,35.2,22.5,32.8,23.9,N/A,N/A,N/A
11/12/2018,30.9,20.9,29.9,N/A,22.1,N/A,N/A
12/12/2018,28.5,20.7,23.2,19.9,18.6,N/A,N/A
13/12/2018,52.2,30.6,38.9,42.5,15.7,N/A,N/A
14/12/2018,38.9,37.8,38.9,54.8,9.0,9.4,N/A
15/12/2018,N/A,28.2,39.8,20.6,13.7,16.3,N/A
16/12/2018,N/A,41.9,46.1,35.4,26.2,27.4,N/A
17/12/2018,64.8,36.7,49.6,50.8,19.3,24.1,N/A
18/12/2018,48.0,24.9,34.9,41.6,17.5,11.1,N/A
19/12/2018,N/A,19.2,N/A,N/A,N/A,N/A,N/A
20/12/2018,39.9,34.5,32.1,36.4,12.0,15.1,N/A
21/12/2018,72.8,34.5,42.4,48.2,10.1,N/A,N/A
22/12/2018,47.5,32.4,33.2,35.6,15.7,N/A,N/A
23/12/2018,49.8,25.1,33.1,31.2,13.9,11.7,N/A
24/12/2018,42.8,30.1,38.3,32.4,14.8,13.3,N/A
25/12/2018,31.0,15.2,25.4,22.7,14.2,11.9,N/A
26/12/2018,N/A,18.7,23.0,19.6,20.2,N/A,N/A
27/12/2018,N/A,20.4,25.8,20.4,12.8,N/A,N/A
28/12/2018,N/A,35.2,34.9,37.7,N/A,N/A,N/A
29/12/2018,64.6,31.6,31.6,51.1,13.1,N/A,N/A
30/12/2018,42.1,24.2,24.1,31.1,10.7,N/A,N/A
31/12/2018,42.0,32.6,35.9,45.1,12.3,N/A,N/A
01/01/2019,N/A,25.3,27.2,24.5,N/A,N/A,N/A
02/01/2019,30.6,18.5,28.0,26.1,20.7,N/A,N/A
03/01/2019,26.4,15.3,24.3,21.6,12.5,N/A,N/A
04/01/2019,34.8,41.4,37.3,26.3,31.9,N/A,N/A
05/01/2019,31.3,14.7,22.4,17.3,10.5,N/A,N/A
06/01/2019,N/A,11.0,13.4,11.2,9.7,N/A,N/A
07/01/2019,29.5,17.2,24.1,26.0,11.3,N/A,N/A
08/01/2019,N/A,12.0,18.9,14.2,11.0,N/A,N/A
09/01/2019,N/A,26.7,34.3,35.2,19.1,N/A,N/A
10/01/2019,39.0,34.4,33.5,44.9,10.6,9.2,N/A
11/01/2019,N/A,36.6,41.2,26.7,16.1,N/A,N/A
12/01/2019,58.3,38.3,46.8,36.7,25.6,N/A,N/A
13/01/2019,45.9,43.0,42.4,36.1,31.8,N/A,N/A
14/01/2019,31.9,26.5,31.6,24.1,18.9,N/A,N/A
15/01/2019,N/A,76.1,57.3,50.4,72.3,N/A,N/A
16/01/2019,N/A,20.9,73.7,79.0,73.2,N/A,N/A
17/01/2019,N/A,34.9,25.1,23.9,12.2,N/A,N/A
18/01/2019,N/A,34.7,51.3,54.6,12.4,7.8,N/A
19/01/2019,N/A,23.3,33.5,53.5,11.5,9.0,N/A
20/01/2019,N/A,26.9,33.4,30.0,17.3,15.1,N/A
21/01/2019,N/A,N/A,50.5,29.4,24.0,21.3,N/A
22/01/2019,N/A,N/A,53.3,51.6,27.7,N/A,N/A
23/01/2019,71.8,N/A,61.0,51.4,29.3,21.7,N/A
24/01/2019,75.8,73.0,77.8,67.8,57.1,37.7,N/A
25/01/2019,136.3,167.7,172.7,179.7,136.6,128.2,N/A
26/01/2019,142.2,140.6,143.0,126.3,110.3,87.8,N/A
27/01/2019,230.0,222.9,240.4,238.7,216.7,156.7,N/A
28/01/2019,67.6,32.4,64.5,74.6,27.7,N/A,N/A
29/01/2019,42.0,28.1,38.0,36.9,13.9,N/A,N/A
